"","subjectID","StartDate","LocationLatitude","LocationLongitude","gender","age","education","ethnicity","father_education","mother_education","marital_status","employment_status","children_1","income","parents_income","net_worth","parents_net_worth","housing_status","macarthur_sss","macarthur_sss_parent","job","accomplishments","weight","height","bmi","sat_score","gre_score_verbal","gre_score_quant","gpa_highschool","gpa_undergrad"
"113",113,"2021-10-29 00:10:49","43.666107177734375","-79.52899932861328125","Female","18","High school degree or equivalent (e.g. GED)","Asian","High school degree or equivalent (e.g. GED)","High school degree or equivalent (e.g. GED)","Single (never married)","Student","0","Less than $10,000","$40,000 to $49,999","Less than $10,000","$60,000 to $69,999","Live with family","6","4","Student","Getting into University of Toronto","104",162.56,17.8888852095886,NA,NA,NA,"12",NA
"114",114,"2021-10-29 00:21:24","43.665496826171875","-79.42040252685546875","Female","18","High school degree or equivalent (e.g. GED)","White","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Unemployed and currently looking for work","0","Less than $10,000",NA,"Less than $10,000",NA,"Live with family","7","7","Student","Valedictorian, Research Training, Heart and Stroke consultant, Trillium Health Partners volunteer, completion of a Harvard online course, honours all throughout high school, more awards in grade 9-12.","120",167.64,19.4090045079664,NA,NA,NA,"13",NA
"115",115,"2021-10-28 16:19:46","43.665496826171875","-79.42040252685546875","Male","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$70,000 to $79,999","$80,000 to $89,999","$250,000 to $499,999","Own with mortgage","5","6","student","finish the game with the highest score in the clan","123",160.02,21.83402978776,NA,NA,NA,"13",NA
"116",116,"2021-10-29 03:29:55","43.658905029296875","-79.38739776611328125","Male","20","Some college, no degree","Asian","Associate degree (e.g. AA, AS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","$20,000 to $29,999","$70,000 to $79,999","Less than $10,000","$60,000 to $69,999","Live with family","7","7","Student","Being National level of athletes，Student at unviersity of toronto","137",160.02,24.319203909944,"7",NA,NA,"10",NA
"117",117,"2021-10-29 03:50:38","25.2633056640625","55.3087005615234375","Male","18","High school degree or equivalent (e.g. GED)","Other","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$50,000 to $59,999","Less than $10,000","$250,000 to $499,999","Rent","8","7","Student","Won a sports tournament, high school grades","152",172.72,23.1598449985198,NA,NA,NA,"13",NA
"118",118,"2021-10-29 04:37:02","43.666107177734375","-79.8065032958984375","Female","18","High school degree or equivalent (e.g. GED)","White","Some college, no degree","Some college, no degree","Single (never married)","Student","0","Less than $10,000","$50,000 to $59,999","Less than $10,000","$40,000 to $49,999","Live with family","4","4","student","receiving a high school diploma with honours","112",160.02,19.8813929774725,NA,NA,NA,"12",NA
"119",119,"2021-10-29 04:56:01","37.3072967529296875","-121.8076019287109375","Female","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000",NA,"$40,000 to $49,999",NA,"Live with family","6","6","Student","Part of the school varsity team","132",195.58,15.6856444594994,NA,NA,NA,"12",NA
"120",120,"2021-10-29 05:19:53","22.851898193359375","113.653106689453125","Female","19","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$250,000 to $399,999","$10,000 to $19,999","$250,000 to $499,999","Own with no mortgage","4","6","student","dancing, piano playing","121",170.18,18.9909045445179,NA,NA,NA,"11",NA
"121",121,"2021-10-29 06:53:03","43.792205810546875","-79.1522979736328125","Male","19","Some college, no degree","Asian","Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000",NA,"$40,000 to $49,999",NA,"Live with family","2","3","student","made a computer program that works","132",180.34,18.4487573894807,NA,NA,NA,"9",NA
"122",122,"2021-10-29 06:25:05","22.290802001953125","114.15008544921875","Female","20","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Some college, no degree","Single (never married)","Student","0","Less than $10,000","$100,000 to $149,999","Less than $10,000","$250,000 to $499,999","Live with family","4","4","student","go to an university which I want to go, had a good relationship, doing my courses well","154",167.64,24.9082224518903,NA,NA,NA,"12",NA
